"year","indicator","perspective","group","country","amount","unit"
"2015","Climate Change (Short-Term)","Domestic production","CO2","Albania",2.69943,"Million tonnes CO2 eq."
"2015","Climate Change (Short-Term)","Domestic production","N2O","Albania",1.06359,"Million tonnes CO2 eq."
"2016","Climate Change (Short-Term)","Consumption footprint","CH4","Albania",7.23407,"Million tonnes CO2 eq."
"2016","Climate Change (Short-Term)","Consumption footprint","CO2","Albania",4.98686,"Million tonnes CO2 eq."
"2016","Climate Change (Short-Term)","Consumption footprint","N2O","Albania",1.3491,"Million tonnes CO2 eq."
"2016","Climate Change (Short-Term)","Domestic production","CH4","Albania",3.90562,"Million tonnes CO2 eq."
"2016","Climate Change (Short-Term)","Domestic production","CO2","Albania",2.73944,"Million tonnes CO2 eq."
"2016","Climate Change (Short-Term)","Domestic production","N2O","Albania",1.06362,"Million tonnes CO2 eq."
"2017","Climate Change (Short-Term)","Consumption footprint","CH4","Albania",6.87077,"Million tonnes CO2 eq."
"2017","Climate Change (Short-Term)","Consumption footprint","CO2","Albania",5.09255,"Million tonnes CO2 eq."
"2017","Climate Change (Short-Term)","Consumption footprint","N2O","Albania",1.34009,"Million tonnes CO2 eq."
"2017","Climate Change (Short-Term)","Domestic production","CH4","Albania",3.9056,"Million tonnes CO2 eq."
"2017","Climate Change (Short-Term)","Domestic production","CO2","Albania",2.88358,"Million tonnes CO2 eq."
"2017","Climate Change (Short-Term)","Domestic production","N2O","Albania",1.06388,"Million tonnes CO2 eq."
"2018","Climate Change (Short-Term)","Consumption footprint","CH4","Albania",6.94572,"Million tonnes CO2 eq."
"2018","Climate Change (Short-Term)","Consumption footprint","CO2","Albania",5.32685,"Million tonnes CO2 eq."
"2018","Climate Change (Short-Term)","Consumption footprint","N2O","Albania",1.37948,"Million tonnes CO2 eq."
"2018","Climate Change (Short-Term)","Domestic production","CH4","Albania",3.90549,"Million tonnes CO2 eq."
"2018","Climate Change (Short-Term)","Domestic production","CO2","Albania",2.84486,"Million tonnes CO2 eq."
"2018","Climate Change (Short-Term)","Domestic production","N2O","Albania",1.06408,"Million tonnes CO2 eq."
